,symbol,sector,previousClose,sharesOutstanding
1,CYIENT.NS,Industrials,1000.75,110043000
1,DCBBANK.NS,Financial Services,83.9,310665984
1,DCMSHRIRAM.NS,Basic Materials,986.95,155942000
1,DLF.NS,Real Estate,385.05,2475310080
1,DABUR.NS,Consumer Defensive,578.55,1767430016
1,DALBHARAT.NS,Basic Materials,1848.45,187120000
1,DEEPAKNTR.NS,Basic Materials,2219.6,136392992
1,DELTACORP.NS,Consumer Cyclical,253.45,266820992
1,DHANI.NS,Financial Services,175.3,460372000
1,DHANUKA.NS,Basic Materials,750.1,46578300
1,DBL.NS,Industrials,545.1,146215008
1,DIVISLAB.NS,Healthcare,4777.3,265468992
1,DIXON.NS,Technology,5095.65,58569400
1,LALPATHLAB.NS,Healthcare,3793.05,83344896
1,DRREDDY.NS,Healthcare,4662.75,165768992
1,EIDPARRY.NS,Consumer Defensive,468.45,177102000
1,EIHOTEL.NS,Consumer Cyclical,123.6,625363968
1,EPL.NS,Consumer Cyclical,202.65,315566016
1,EDELWEISS.NS,Financial Services,69.45,936547968
1,EICHERMOT.NS,Consumer Cyclical,2451.55,273411008
1,ELGIEQUIP.NS,Industrials,274.9,316311008
1,EMAMILTD.NS,Consumer Defensive,535.25,444513984
1,ENDURANCE.NS,Consumer Cyclical,1725.3,140663008
1,ENGINERSIN.NS,Industrials,71.4,562041984
1,EQUITAS.NS,Financial Services,120.9,341790016
1,EQUITASBNK.NS,Financial Services,62.4,1142450048
1,ERIS.NS,Healthcare,725.9,135780992
1,ESCORTS.NS,Industrials,1848.95,134835008
1,EXIDEIND.NS,Consumer Cyclical,166.25,850000000
1,FDC.NS,Healthcare,287.65,168810000
1,FEDERALBNK.NS,Financial Services,88.9,2101910016
1,FACT.NS,Basic Materials,113.15,647072000
1,FINEORG.NS,Basic Materials,3688.35,30660000
1,FINCABLES.NS,Industrials,568.4,152939008
1,FINPIPE.NS,Industrials,204.55,620476992
1,FSL.NS,Technology,173.35,682348992
1,FORTIS.NS,Healthcare,289.1,754958016
1,FRETAIL.NS,Consumer Cyclical,48.9,542284032
1,GAIL.NS,Utilities,131.65,4440390144
1,GMMPFAUDLR.NS,Industrials,4497.15,14617500
1,GALAXYSURF.NS,Basic Materials,2826.6,35454800
1,GARFIBRES.NS,Consumer Cyclical,3228.65,20618200
1,GICRE.NS,Financial Services,142.35,1754400000
1,GILLETTE.NS,Consumer Defensive,5532.25,32585200
1,GLAND.NS,Healthcare,3636.4,163592992
1,GLAXO.NS,Healthcare,1691.95,169406000
1,GLENMARK.NS,Healthcare,505.45,282168000
1,GODFRYPHLP.NS,Consumer Defensive,1279.3,51993900
1,GODREJAGRO.NS,Consumer Defensive,514.65,192112992
1,GODREJCP.NS,Consumer Defensive,924.05,1022489984
1,GODREJIND.NS,Industrials,577.85,336584000
1,GODREJPROP.NS,Real Estate,2020.75,277987008
1,GRANULES.NS,Healthcare,302.1,248006000
1,GRAPHITE.NS,Industrials,417.1,195376000
1,GRASIM.NS,Basic Materials,1723.85,658078016
1,GESHIP.NS,Industrials,300.6,146966000
1,GREAVESCOT.NS,Industrials,158.75,231207008
1,GRINDWELL.NS,Industrials,1675.35,110720000
1,GUJALKALI.NS,Basic Materials,604.7,73436896
1,GAEL.NS,Consumer Defensive,159.45,229335008
1,FLUOROCHEM.NS,Basic Materials,2315.35,109850000
1,GUJGASLTD.NS,Utilities,686.65,688390016
1,GNFC.NS,Basic Materials,426.1,155419008
1,GPPL.NS,Industrials,99.8,483440000
1,GSFC.NS,Basic Materials,114,398478016
1,GSPL.NS,Utilities,305.25,564211008
1,HEG.NS,Industrials,1791.5,38595500
1,HCLTECH.NS,Technology,1184.7,2713669888
1,HDFCAMC.NS,Financial Services,2556.7,213192000
1,HDFCBANK.NS,Financial Services,1525.75,5540960256
1,HDFCLIFE.NS,Financial Services,705.3,2021670016
1,HFCL.NS,Technology,72,1284380032
1,HAPPSTMNDS.NS,Technology,1219.45,146864000
1,HATHWAY.NS,Communication Services,20.75,1770099968
1,HATSUN.NS,Consumer Defensive,1325.1,215563008
1,HAVELLS.NS,Industrials,1379.15,626302976
1,HEIDELBERG.NS,Basic Materials,227.15,226612992
1,HEMIPROP.NS,Real Estate,132.6,285000000
1,HEROMOTOCO.NS,Consumer Cyclical,2472.7,199790000
1,HIKAL.NS,Healthcare,512.95,123301000
1,HINDALCO.NS,Basic Materials,432.1,2230850048
1,HGS.NS,Industrials,2842.35,20880900
1,HAL.NS,Industrials,1300.85,334387008
1,HINDCOPPER.NS,Basic Materials,118.25,967024000
1,HINDPETRO.NS,Energy,300.55,1418550016
1,HINDUNILVR.NS,Consumer Defensive,2383.3,2349590016
1,HINDZINC.NS,Basic Materials,333.3,4225319936
1,HOMEFIRST.NS,Financial Services,815.65,87560000
1,HONAUT.NS,Industrials,38383.25,8841520
1,HUDCO.NS,Financial Services,39.95,2001900032
1,HDFC.NS,Financial Services,2807.8,1803949952
1,ICICIBANK.NS,Financial Services,722.4,6940279808
1,ICICIGI.NS,Financial Services,1463.7,490702016
1,ICICIPRULI.NS,Financial Services,608.7,1436540032
1,ISEC.NS,Financial Services,747.4,322663008
1,IDBI.NS,Financial Services,47.1,10752400384
1,IDFCFIRSTB.NS,Financial Services,46.95,6213879808
1,IDFC.NS,Financial Services,51.85,1596440064
1,IFBIND.NS,Technology,1145.15,40518800
1,IIFL.NS,Financial Services,317.8,378975008
1,IIFLWAM.NS,Financial Services,1521.35,87934800
1,IOLCP.NS,Healthcare,454.2,58705500
1,IRB.NS,Industrials,226.2,351449984
1,IRCON.NS,Industrials,45.4,940515968
1,ITC.NS,Consumer Defensive,225.45,12322400256
1,ITI.NS,Technology,109.8,933523008
1,INDIACEM.NS,Basic Materials,185.85,309896992
1,IBULHSGFIN.NS,Financial Services,256.4,462428000
1,IBREALEST.NS,Real Estate,172.5,454664000
1,INDIAMART.NS,Communication Services,7367.6,30344100
1,INDIANB.NS,Financial Services,143.7,1129369984
1,IEX.NS,Financial Services,243.2,898670016
1,INDHOTEL.NS,Consumer Cyclical,184.2,1189260032
1,IOC.NS,Energy,120.65,9414160384
1,IOB.NS,Financial Services,20.95,18902401024
1,IRCTC.NS,Industrials,821.25,160000000
1,IRFC.NS,Financial Services,23.25,13068499968
1,INDIGOPNTS.NS,Basic Materials,2222.3,47569000
1,ICIL.NS,Consumer Cyclical,229.65,197400000
1,INDOCO.NS,Healthcare,397.45,92150400
1,IGL.NS,Utilities,498.1,700001024
1,INDUSTOWER.NS,Communication Services,278.8,2694789888
1,INDUSINDBK.NS,Financial Services,945.55,773841984
1,INFIBEAM.NS,Technology,40.85,1332039936
1,NAUKRI.NS,Communication Services,5878.35,128784000
1,INFY.NS,Technology,1748.25,4261270016
1,INGERRAND.NS,Industrials,1208.5,31568000
1,INOXLEISUR.NS,Communication Services,364.65,108312000
1,INTELLECT.NS,Technology,637.3,133754000
1,INDIGO.NS,Industrials,1912.05,384863008
1,IPCALAB.NS,Healthcare,2071.25,126852000
1,JBCHEPHARM.NS,Healthcare,1589.15,77282096
1,JKCEMENT.NS,Basic Materials,3333.4,77268200
1,JKLAKSHMI.NS,Basic Materials,627.2,117670000
1,JKPAPER.NS,Basic Materials,211.9,169402000
1,JKTYRE.NS,Consumer Cyclical,137.1,246231008
1,JMFINANCIL.NS,Financial Services,70.1,953702016
1,JSWENERGY.NS,Utilities,316.65,1642790016
1,JSWSTEEL.NS,Basic Materials,646.75,2402400000
1,JAMNAAUTO.NS,Consumer Cyclical,100.8,398464000
1,JINDALSAW.NS,Basic Materials,102.2,319756992
1,JSLHISAR.NS,Basic Materials,294.65,235935008
1,JSL.NS,Basic Materials,163.7,487235008
1,JINDALSTEL.NS,Basic Materials,354.05,1020019968
1,JCHAC.NS,Technology,1899.2,27190900
1,JUBLFOOD.NS,Consumer Cyclical,3762.9,131969000
1,JUBLINGREA.NS,Healthcare,562.45,159280992
1,JUBLPHARMA.NS,Healthcare,591.7,159280992
1,JUSTDIAL.NS,Communication Services,707.6,62272800
1,JYOTHYLAB.NS,Consumer Defensive,153.05,367208992
1,KPRMILL.NS,Consumer Cyclical,509.5,68810000
1,KEI.NS,Industrials,1148,89855400
1,KNRCON.NS,Industrials,274.8,281235008
1,KPITTECH.NS,Technology,489.2,274144000
1,KRBL.NS,Consumer Defensive,242.25,235390000
1,KSB.NS,Industrials,1273.5,34807800
1,KAJARIACER.NS,Industrials,1133.45,159167008
1,KALPATPOWR.NS,Industrials,382.2,148908992
1,KALYANKJIL.NS,Consumer Cyclical,68,1030049984
1,KANSAINER.NS,Basic Materials,599.95,538920000
1,KARURVYSYA.NS,Financial Services,50.05,799321984
1,KSCL.NS,Consumer Defensive,495.45,60329100
1,KEC.NS,Industrials,432.5,257088000
1,KOTAKBANK.NS,Financial Services,1964.25,1982390016
1,L&TFH.NS,Financial Services,79.15,2470579968
1,LTTS.NS,Technology,5518.6,105057000
1,LICHSGFIN.NS,Financial Services,378.65,550062976
1,LAOPALA.NS,Consumer Cyclical,342.65,111000000
1,LAXMIMACH.NS,Industrials,8853.15,10683000
1,LTI.NS,Technology,6948.75,174762000
1,LT.NS,Industrials,1789.2,1404600064
1,LAURUSLABS.NS,Healthcare,516.8,536601984
1,LXCHEM.NS,Basic Materials,419.15,263663008
1,LEMONTREE.NS,Consumer Cyclical,45.6,792246016
1,LINDEINDIA.NS,Basic Materials,2478.35,85284200
1,LUPIN.NS,Healthcare,875.6,453771008
1,LUXIND.NS,Consumer Cyclical,3904.8,25253000
1,MMTC.NS,Industrials,39.55,1500000000
1,MOIL.NS,Basic Materials,168.3,237328000
1,MRF.NS,Consumer Cyclical,73881.7,4241140
1,LODHA.NS,Real Estate,1434.5,481505984
1,MGL.NS,Utilities,921.15,98777800
1,M&MFIN.NS,Financial Services,162.5,1235529984
1,M&M.NS,Consumer Cyclical,849.55,1243190016
1,MAHINDCIE.NS,Consumer Cyclical,247.15,379051008
1,MHRIL.NS,Consumer Cyclical,209.9,199596000
1,MAHLOG.NS,Industrials,703.15,71712000
1,MANAPPURAM.NS,Financial Services,170.15,846395008
1,MRPL.NS,Energy,44.6,1752600064
1,MARICO.NS,Consumer Defensive,532.85,1291350016
1,MARUTI.NS,Consumer Cyclical,7324.95,302080000
1,MASTEK.NS,Technology,2938.6,29690200
1,MFSL.NS,Financial Services,965.35,345107008
1,MAXHEALTH.NS,Healthcare,375.15,969395008
1,MAZDOCK.NS,Industrials,267.75,201690000
1,METROPOLIS.NS,Healthcare,3206.15,51116800
1,MINDTREE.NS,Technology,4516.05,164728992
1,MINDACORP.NS,Consumer Cyclical,163.15,239079008
1,MINDAIND.NS,Consumer Cyclical,914.85,285620000
1,MIDHANI.NS,Basic Materials,187.2,187340000
1,MOTILALOFS.NS,Financial Services,963.15,147092000
1,MPHASIS.NS,Technology,3107.1,187174000
1,MCX.NS,Financial Services,1642.85,50998400
1,MUTHOOTFIN.NS,Financial Services,1494.3,401196000
1,NATCOPHARM.NS,Healthcare,841.55,182338000
1,NBCC.NS,Industrials,42.35,1800000000
1,NCC.NS,Industrials,72.4,609846976
1,NESCO.NS,Industrials,605.3,70460000
1,NHPC.NS,Utilities,32.25,10044999680
1,NLCINDIA.NS,Utilities,58.85,1386640000
1,NMDC.NS,Basic Materials,141.6,2930609920
1,,,,
1,NTPC.NS,Utilities,128.7,9696669696
1,NH.NS,Healthcare,579.75,204360992
1,NATIONALUM.NS,Basic Materials,91.3,1836630016
1,NFL.NS,Basic Materials,50.55,490577984
1,NAVINFLUOR.NS,Basic Materials,3780.2,49545100
1,NAZARA.NS,Communication Services,2314.55,32530200
1,NESTLEIND.NS,Consumer Defensive,19503.2,96415696
1,NETWORK18.NS,Communication Services,72.2,1035360000
1,NILKAMAL.NS,Consumer Cyclical,2325.85,14922500
1,NAM-INDIA.NS,Financial Services,370.35,621667008
1,OBEROIRLTY.NS,Real Estate,849.6,363601984
1,ONGC.NS,Energy,144,12580299776
1,OIL.NS,Energy,218.75,1084409984
1,OFSS.NS,Technology,4186.45,86220304
1,ORIENTELEC.NS,Consumer Cyclical,374.4,212186000
1,PIIND.NS,Basic Materials,2953.25,151712992
1,PNBHOUSING.NS,Financial Services,587.45,168508992
1,PNCINFRA.NS,Industrials,295.05,256539008
1,PVR.NS,Communication Services,1399.2,60762200
