,symbol,sector,previousClose,sharesOutstanding,market_cap,socialScore,governanceScore,environmentScore,totalEsg,percentile,peerCount,peerGroup,highestControversy,esgPerformance
67,BHARATFORG.ns,Consumer Cyclical,705.85,465588992,328635990003.2,,,,,,,,,
68,BHEL.ns,Industrials,60.55,3482060032,210838734937.59998,0,0,0,35.96,78.49,17,Electrical Equipment,4,LEAD_PERF
69,BPCL.ns,Energy,378.85,2169250048,821820380684.8,8.7,7.17,20.48,36.35,79.51,37,Refiners & Pipelines,2,OUT_PERF
70,BHARATRAS.ns,Basic Materials,9879.95,4248740,41977338763.0,,,,,,,,,
71,BHARTIARTL.ns,Communication Services,732.55,5488659968,4020717859558.4,13.56,8.89,4.06,26.51,46.75,66,Telecommunication Services,3,
72,BIOCON.ns,Healthcare,367.5,1200600064,441220523520.0,,,,,,,,,
73,BIRLACORPN.ns,Basic Materials,1335.45,77005296,102836722543.2,,,,,,,,,
74,BSOFT.ns,Technology,488.8,277583008,135682574310.40001,,,,,,,,,
75,BLUEDART.ns,Industrials,6709.55,23727900,159203531445.0,,,,,,,,,
76,BLUESTARCO.ns,Industrials,986.75,96313904,95037744772.0,,,,,,,,,
77,BBTC.ns,Consumer Defensive,1016.45,69771904,70919651820.8,,,,,,,,,
78,BOSCHLTD.ns,Consumer Cyclical,16641.2,29493600,490808896320.0,0,0,0,13.21,5.52,24,Auto Components,2,LAG_PERF
79,BRIGADE.ns,Real Estate,491.95,230102000,113198678900.0,,,,,,,,,
80,BRITANNIA.ns,Consumer Defensive,3578.5,240868000,861946138000.0,,,,,,,,,
81,BURGERKING.ns,Consumer Cyclical,148.6,383504000,56988694400.0,,,,,,,,,
82,CCL.ns,Consumer Defensive,390.3,133028000,51920828400.0,,,,,,,,,
83,CESC.ns,Utilities,88.1,132557000,11678271700.0,,,,,,,,,
84,CGPOWER.ns,Industrials,157.1,1338000000,210199800000.0,,,,,,,,,
85,CRISIL.ns,Financial Services,3100.55,72745400,225550749970.0,,,,,,,,,
86,CSBBANK.ns,Financial Services,266.85,173486000,46294739100.00001,,,,,,,,,
87,CADILAHC.ns,Healthcare,460.55,1023740032,471483471737.60004,,,,40.92,87.96,83,Pharmaceuticals,3,LEAD_PERF
88,CANFINHOME.ns,Financial Services,588.15,133154000,78314525100.0,,,,,,,,,
89,CANBK.ns,Financial Services,207.15,1646739968,341122184371.2,,,,,,,,,
90,CAPLIPOINT.ns,Healthcare,802.5,75768896,60804539040.0,,,,,,,,,
91,CGCL.ns,,512.7,,,,,,,,,,,
92,CARBORUNIV.ns,Industrials,897.25,189624000,170140134000.0,,,,,,,,,
93,CASTROLIND.ns,Basic Materials,126.45,989121984,125074474876.8,,,,,,,,,
94,CEATLTD.ns,Consumer Cyclical,1140.1,40450100,46117159010.0,,,,,,,,,
95,CENTRALBK.ns,Financial Services,21.65,8680939520,187942340608.0,,,,,,,,,
96,CDSL.ns,Financial Services,1542.9,104500000,161233050000.0,,,,,,,,,
97,CENTURYPLY.ns,Consumer Cyclical,596.35,222172992,132492863779.20001,,,,,,,,,
98,CENTURYTEX.ns,Basic Materials,831.5,111696000,92875224000.0,,,,,,,,,
99,CERA.ns,Industrials,4939.65,13005900,64244593934.99999,,,,,,,,,
100,CHALET.ns,Consumer Cyclical,228.9,205024000,46929993600.0,,,,,,,,,
101,CHAMBLFERT.ns,Basic Materials,397.25,416208000,165338628000.0,,,,,,,,,
102,CHOLAHLDNG.ns,Financial Services,700.05,187728000,131418986399.99998,,,,,,,,,
103,CHOLAFIN.ns,Financial Services,566.65,820662016,465028131366.39996,,,,,,,,,
104,CIPLA.ns,Healthcare,921.25,806787008,743252531120.0,22.25,13.11,2.1,37.46,82.04,83,Pharmaceuticals,2,OUT_PERF
105,CUB.ns,Financial Services,145.45,738822016,107461662227.2,,,,,,,,,
106,COALINDIA.ns,Energy,159.3,6162729984,981722886451.2001,12.06,7.1,16.84,35.99,76.92,71,Oil & Gas Producers,3,OUT_PERF
107,COCH.nsHIP.ns,Industrials,343.25,131540000,45151105000.0,,,,,,,,,
108,COFORGE.ns,Technology,5414.15,60689800,328583680670.0,,,,,,,,,
109,COLPAL.ns,Consumer Defensive,1440.4,271985984,391768611353.60004,,,,,,,,,
110,CAMS.ns,Technology,2975.05,48903500,145490357675.0,,,,,,,,,
111,CONCOR.ns,Industrials,639.25,609294016,389491199728.0,,,,,,,,,
112,COROMANDEL.ns,Basic Materials,746.2,293379008,218919415769.6,,,,,,,,,
113,CREDITACC.ns,Financial Services,519.35,155748992,80888238995.2,,,,,,,,,
114,CROMPTON.ns,Consumer Cyclical,433.7,627814976,272283355091.19998,,,,,,,,,
115,CUMM.nsIND.ns,Industrials,919.55,277200000,254899260000.0,,,,,,,,,
116,CYIENT.ns,Industrials,1000.75,110043000,110125532250.0,,,,,,,,,
117,DCBBANK.ns,Financial Services,83.9,310665984,26064876057.600002,,,,,,,,,
118,DCMSHRIRAM.ns,Basic Materials,986.95,155942000,153906956900.0,,,,,,,,,
119,DLF.ns,Real Estate,385.05,2475310080,953118146304.0,,,,,,,,,
120,DABUR.ns,Consumer Defensive,578.55,1767430016,1022546635756.7999,8.49,8.41,12.43,29.33,57.1,27,Household Products,1,
121,DALBHARAT.ns,Basic Materials,1848.45,187120000,345881964000.0,,,,,,,,,
122,DEEPAKNTR.ns,Basic Materials,2219.6,136392992,302737885043.2,,,,,,,,,
123,DELTACORP.ns,Consumer Cyclical,253.45,266820992,67625780422.399994,,,,,,,,,
124,DHANI.ns,Financial Services,175.3,460372000,80703211600.0,,,,,,,,,
125,DHANUKA.ns,Basic Materials,750.1,46578300,34938382830.0,,,,,,,,,
126,DBL.ns,Industrials,545.1,146215008,79701800860.8,,,,,,,,,
127,DIVISLAB.ns,Healthcare,4777.3,265468992,1268225015481.6,,,,,,,,,
128,DIXON.ns,Technology,5095.65,58569400,298449163110.0,,,,,,,,,
129,LALPATHLAB.ns,Healthcare,3793.05,83344896,316131357772.8,,,,,,,,,
130,DRREDDY.ns,Healthcare,4662.75,165768992,772939367448.0,20.82,13.78,2.01,36.6,80.26,83,Pharmaceuticals,3,LEAD_PERF
131,EIDPARRY.ns,Consumer Defensive,468.45,177102000,82963431900.0,,,,,,,,,
132,EIHOTEL.ns,Consumer Cyclical,123.6,625363968,77294986444.8,,,,,,,,,
133,EPL.ns,Consumer Cyclical,202.65,315566016,63949453142.4,,,,,,,,,
134,EDELWEISS.ns,Financial Services,69.45,936547968,65043256377.600006,,,,,,,,,
135,EICHERMOT.ns,Consumer Cyclical,2451.55,273411008,670280756662.4,5.48,6.88,3.82,16.17,11.75,37,Automobiles,2,UNDER_PERF
136,ELGIEQUIP.ns,Industrials,274.9,316311008,86953896099.2,,,,,,,,,
137,EMAMILTD.ns,Consumer Defensive,535.25,444513984,237926109936.0,,,,,,,,,
138,ENDURANCE.ns,Consumer Cyclical,1725.3,140663008,242685887702.4,,,,,,,,,
139,ENGINERSIN.ns,Industrials,71.4,562041984,40129797657.600006,,,,,,,,,
140,EQUITAS.ns,Financial Services,120.9,341790016,41322412934.4,,,,,,,,,
141,EQUITASBNK.ns,Financial Services,62.4,1142450048,71288882995.2,,,,,,,,,
142,ERIS.ns,Healthcare,725.9,135780992,98563422092.8,,,,,,,,,
143,ESCORTS.ns,Industrials,1848.95,134835008,249303188041.6,,,,,,,,,
144,EXIDEIND.ns,Consumer Cyclical,166.25,850000000,141312500000.0,,,,,,,,,
145,FDC.ns,Healthcare,287.65,168810000,48558196499.99999,,,,,,,,,
146,FEDERALBNK.ns,Financial Services,88.9,2101910016,186859800422.40002,,,,,,,,,
147,FACT.ns,Basic Materials,113.15,647072000,73216196800.0,,,,,,,,,
148,FINEORG.ns,Basic Materials,3688.35,30660000,113084811000.0,,,,,,,,,
149,FINCABLES.ns,Industrials,568.4,152939008,86930532147.2,,,,,,,,,
150,FINPIPE.ns,Industrials,204.55,620476992,126918568713.6,,,,,,,,,
151,FSL.ns,Technology,173.35,682348992,118285197763.2,,,,,,,,,
152,FORTIS.ns,Healthcare,289.1,754958016,218258362425.6,,,,,,,,,
153,FRETAIL.ns,Consumer Cyclical,48.9,542284032,26517689164.8,,,,,,,,,
154,GAIL.ns,Utilities,131.65,4440390144,584577362457.6,10.54,8.28,9.86,28.68,54.66,103,Utilities,3,
155,GMMPFAUDLR.ns,Industrials,4497.15,14617500,65737090124.99999,,,,,,,,,
156,GALAXYSURF.ns,Basic Materials,2826.6,35454800,100216537680.0,,,,,,,,,
157,GARFIBRES.ns,Consumer Cyclical,3228.65,20618200,66568951430.0,,,,,,,,,
158,GICRE.ns,Financial Services,142.35,1754400000,249738840000.0,,,,,,,,,
159,GILLETTE.ns,Consumer Defensive,5532.25,32585200,180269472700.0,,,,,,,,,
160,GLAND.ns,Healthcare,3636.4,163592992,594889556108.8,,,,,,,,,
161,GLAXO.ns,Healthcare,1691.95,169406000,286626481700.0,,,,,,,,,
162,GLENMARK.ns,Healthcare,505.45,282168000,142621815600.0,,,,,,,,,
163,GODFRYPHLP.ns,Consumer Defensive,1279.3,51993900,66515796270.0,,,,,,,,,
164,GODREJAGRO.ns,Consumer Defensive,514.65,192112992,98870951332.8,,,,,,,,,
165,GODREJCP.ns,Consumer Defensive,924.05,1022489984,944831869715.2,7.27,8.39,10.91,26.57,46.97,27,Household Products,1,
166,GODREJIND.ns,Industrials,577.85,336584000,194495064400.0,,,,,,,,,
167,GODREJPROP.ns,Real Estate,2020.75,277987008,561742246416.0,,,,,,,,,
168,GRANULES.ns,Healthcare,302.1,248006000,74922612600.0,,,,,,,,,
169,GRAPHITE.ns,Industrials,417.1,195376000,81491329600.0,,,,,,,,,
170,GRASIM.ns,Basic Materials,1723.85,658078016,1134427787881.5999,11.21,12.77,18.49,42.47,90.31,35,Industrial Conglomerates,2,
171,GESHIP.ns,Industrials,300.6,146966000,44177979600.0,,,,,,,,,
172,GREAVESCOT.ns,Industrials,158.75,231207008,36704112520.0,,,,,,,,,
173,GRINDWELL.ns,Industrials,1675.35,110720000,185494752000.0,,,,,,,,,
174,GUJALKALI.ns,Basic Materials,604.7,73436896,44407291011.200005,,,,,,,,,
175,GAEL.ns,Consumer Defensive,159.45,229335008,36567467025.6,,,,,,,,,
176,FLUOROCHEM.ns,Basic Materials,2315.35,109850000,254341197500.0,,,,,,,,,
177,GUJGASLTD.ns,Utilities,686.65,688390016,472683004486.39996,,,,,,,,,
