,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Ann,ROE,ROA
754,Precision Camshf,140.85,105.59,1338.84,0.71,20.39,114.71,214.55,16.86,0.4,2.29,0.36,-0.09
755,ITD Cem,77.75,11.6,1336.53,0.15,14.88,129.91,811.49,46.83,10.03,13.67,1.29,0.44
756,Federal-Mogul Go,237.7,25.32,1322.61,0.0,12.34,12.08,343.62,24.31,6.69,3.37,0.41,2.51
757,Chemcon Special.,360.55,22.02,1320.36,0.0,14.57,-6.48,61.24,-0.49,28.89,56.44,22.57,17.93
758,TARC Ltd,44.75,110.1,1319.05,0.0,5.3,570.89,159.75,357.21,0.75,6.18,0.4,0.18
759,SVP Global,104.0,8.69,1317.47,0.08,40.85,280.0,405.74,11.24,4.52,24.85,2.56,0.64
760,SJS Enterprises,429.25,26.96,1307.44,0.0,,,,,21.79,48.49,16.3,13.55
761,Quick Heal Tech,225.05,13.88,1304.81,1.78,34.63,20.08,103.79,22.96,20.51,104.71,15.01,13.75
762,Balu Forge,175.3,75.63,1300.11,0.06,7.04,958.54,73.98,,20.6,7.62,20.17,6.65
763,Lumax Industries,1387.1,27.1,1299.61,0.5,15.33,112.03,452.66,13.92,7.51,16.77,3.7,1.27
764,Dwarikesh Sugar,69.0,10.6,1298.31,1.81,39.63,123.39,505.53,21.12,13.31,91.62,17.24,6.0
765,J Kumar Infra,171.7,8.61,1297.65,0.58,41.06,477.5,771.98,61.71,7.7,63.4,3.41,1.73
766,Shivalik Rasayan,889.8,52.01,1289.25,0.06,6.12,82.14,56.69,8.19,15.71,17.6,9.91,7.14
767,Sunflag Iron,71.55,4.94,1287.62,0.0,65.48,123.18,685.61,40.08,10.88,140.61,9.64,5.85
768,G M Breweries,700.5,12.82,1281.55,0.57,21.85,94.92,115.95,59.69,19.95,74.65,15.96,14.13
769,Sigachi Indust.,415.45,42.28,1279.37,0.0,8.99,48.35,54.95,25.49,37.82,30.26,38.12,24.95
770,MPS,703.4,17.14,1266.22,0.0,21.66,55.83,110.21,-0.12,23.98,57.72,15.43,12.15
771,Fineotex Chem,114.25,28.43,1264.73,0.26,10.72,2.19,78.49,43.36,29.36,42.59,22.47,18.76
772,Vindhya Telelink,1061.35,4.57,1260.41,0.94,36.51,-44.93,321.66,-1.9,12.41,270.08,10.21,5.54
773,Rel. Indl. Infra,833.05,121.36,1257.29,0.36,2.55,16.44,16.74,22.82,2.56,9.65,2.47,2.24
774,PG Electroplast,598.8,54.94,1254.73,0.0,4.64,46.73,199.31,30.42,9.17,11.95,6.51,2.21
775,Banco Products,175.05,8.34,1253.75,1.14,49.23,20.16,548.89,25.31,18.68,113.81,14.8,10.0
776,BF Investment,329.5,3.9,1251.35,0.0,40.47,70.76,5.98,13.26,14.26,267.03,10.66,9.68
777,Sangam India,289.9,14.76,1249.34,0.34,29.8,832.19,634.92,104.25,4.4,6.94,1.27,0.48
778,5Paisa Capital,418.9,70.08,1236.22,0.0,1.39,-51.06,67.93,29.76,10.82,14.68,9.98,1.97
779,Monte Carlo Fas.,594.15,12.44,1233.21,2.52,33.91,665.46,238.29,142.53,14.68,66.38,11.55,7.19
780,Mirza Internatio,101.35,19.58,1222.91,0.0,26.81,320.22,392.74,44.55,6.18,7.72,1.22,0.64
781,TD Power Systems,393.15,22.04,1222.83,0.64,16.06,-13.75,227.33,24.16,11.38,39.4,8.67,5.11
782,Guj Inds. Power,79.95,7.35,1211.51,3.38,53.36,17.09,322.08,-4.23,9.55,183.26,6.48,4.49
783,PTC India Fin,18.7,18.4,1201.07,0.0,52.47,64.74,242.09,-18.02,7.45,25.6,1.21,0.22
784,Transpek Inds.,2142.9,23.9,1196.93,0.35,17.6,2987.72,154.69,100.14,7.44,22.49,6.26,3.79
785,Gulshan Polyols,250.2,12.4,1175.72,0.4,28.48,66.26,277.28,32.92,25.34,61.69,17.85,12.94
786,Kopran,270.7,21.69,1175.69,1.11,17.09,2.77,127.57,7.21,30.44,61.7,28.39,15.24
787,PNB Gilts,65.0,4.49,1167.35,15.38,82.91,317.14,270.63,23.87,8.35,460.53,39.05,3.49
788,XPRO India,985.45,36.84,1165.65,0.0,10.84,127.73,126.55,29.58,12.96,8.35,9.72,2.67
789,Elpro Internatio,68.65,126.33,1163.47,0.0,8.23,1427.42,16.43,16.52,11.13,19.72,12.05,4.38
790,Thejo Engg.,1086.0,42.19,1155.73,0.18,,,,,32.11,27.39,23.65,13.43
791,Karda Construct.,18.75,42.49,1149.76,0.16,4.51,114.76,17.26,-14.68,20.35,20.25,17.9,6.7
792,JTL Infra,215.95,31.01,1145.34,0.19,12.95,351.22,263.09,229.36,27.06,20.06,28.15,11.45
793,KDDL Ltd,898.85,47.29,1142.57,0.17,6.0,109.79,193.27,38.63,8.92,5.64,3.03,1.1
794,Shankara Build.,498.35,23.65,1137.89,0.0,8.97,43.52,605.69,24.13,7.24,13.97,2.71,1.33
795,Andrew Yule & Co,23.2,80.22,1131.93,0.0,18.43,-58.32,124.2,-5.23,5.28,35.88,9.95,5.8
796,Kitex Garments,170.4,16.15,1131.5,0.88,25.72,44.41,178.09,33.72,11.37,54.27,8.12,6.69
797,Clariant Chemica,490.9,26.39,1131.24,13.24,4.36,-61.75,194.88,7.76,11.8,37.63,7.11,4.73
798,Shanthi Gears,147.75,33.63,1130.02,1.02,7.9,19.16,71.77,33.65,11.21,20.02,8.6,6.58
799,Ambika Cotton,1967.25,8.58,1127.12,1.78,45.5,253.54,220.5,51.42,17.06,67.95,12.69,10.83
800,Kingfa Science,926.4,50.16,1126.02,0.0,7.45,125.76,264.72,58.38,3.7,5.32,1.51,0.84
801,Xchanging Sol.,100.8,19.25,1122.92,0.0,18.81,24.98,41.96,-19.35,13.23,62.44,11.87,10.42
802,Parag Milk Foods,117.15,26.68,1116.38,0.43,22.77,43.21,532.32,6.84,6.73,21.85,2.38,1.3
803,AVT Natural Prod,73.4,18.93,1114.05,0.95,14.11,55.23,134.74,7.45,18.75,45.0,15.38,11.21
804,Capacit'e Infra.,164.1,18.17,1111.72,0.0,17.08,260.34,343.39,89.4,6.07,1.54,0.17,0.07
805,Bhageria Indust.,253.6,16.11,1102.0,1.38,15.05,-6.87,140.14,32.42,18.14,62.4,14.62,11.39
806,Shakti Pumps,600.3,12.94,1101.61,1.33,20.78,36.35,369.02,83.51,28.39,75.59,24.96,12.48
807,RSWM Ltd,464.0,5.97,1095.31,0.0,44.75,398.33,953.07,72.17,3.89,5.39,0.7,0.25
808,Cantabil Retail,672.95,46.25,1092.97,0.15,7.77,1226.09,89.61,84.76,10.01,9.64,7.96,2.2
809,OnMobile Global,103.9,29.28,1092.72,1.44,2.66,-54.53,130.43,-6.82,9.74,40.96,6.74,4.52
810,Sh. Digvijay Cem,75.6,14.19,1086.83,3.31,13.4,423.44,153.87,58.61,28.93,54.33,18.5,13.39
811,Excel Industries,866.2,12.79,1085.03,1.3,17.14,3.19,230.92,25.67,12.98,70.4,9.07,6.87
812,SMS Pharma.,128.5,11.9,1084.78,0.23,23.03,109.94,174.7,34.25,17.48,62.54,16.48,8.81
813,PC Jeweller,23.55,24.17,1082.06,0.0,-78.89,-46.96,559.74,30.19,6.16,62.01,1.5,0.79
814,Ultramarine Pig.,369.05,18.21,1077.63,1.35,16.78,-2.56,118.08,53.97,18.3,55.3,14.48,11.75
815,Natl. Peroxide,1867.8,88.79,1073.42,0.67,7.29,-67.35,67.55,25.37,3.75,34.97,3.74,3.01
816,Punjab Alkalies,221.35,,1072.85,0.0,-37.28,-1193.26,87.02,54.98,24.95,7.86,9.41,3.32
817,Udaipur Cement,34.45,14.98,1072.81,0.0,10.16,-13.31,197.48,1.29,15.96,60.37,31.38,6.38
818,Kabra Extrusion,334.95,38.05,1071.83,0.75,6.56,10.81,83.1,20.3,12.17,24.41,9.57,6.35
819,DCW,40.7,28.92,1062.39,0.0,19.67,1948.96,571.87,69.24,10.31,3.79,0.56,0.2
820,Black Rose Indus,207.5,29.54,1058.25,0.22,9.22,48.23,126.05,11.37,38.47,27.44,34.2,19.03
821,IFGL Refractori.,292.05,14.49,1052.17,1.37,20.01,-3.05,309.89,25.86,13.96,65.76,7.74,5.96
822,Prakash Industri,58.75,6.31,1052.11,0.0,43.07,370.71,893.59,16.99,4.88,94.56,3.28,2.44
823,Ganesha Ecosphe.,480.85,16.88,1049.34,0.42,14.26,20.03,247.89,25.18,10.77,42.44,8.54,6.01
824,Ajmera Realty,294.2,24.81,1043.63,0.48,11.43,48.44,98.48,-8.56,6.48,30.18,4.63,1.63
825,Bliss GVS Pharma,100.5,13.47,1041.44,0.5,21.27,3.71,195.99,29.33,12.24,68.51,8.87,7.02
826,Lumax Auto Tech.,152.5,14.58,1039.41,1.97,23.39,52.48,402.96,42.0,13.97,46.09,9.44,5.41
827,Kwality Pharma,998.25,68.37,1035.81,0.0,,,,,26.14,15.15,28.27,9.97
828,KMC Speciality,63.5,49.67,1035.68,0.0,5.64,102.88,32.82,29.06,25.32,12.77,22.41,14.59
829,Andhra Petrochem,121.55,4.68,1032.81,1.23,86.49,1151.66,242.65,81.45,36.78,76.47,29.01,19.52
830,Wendt India,5193.4,43.72,1032.26,0.58,8.04,188.17,47.47,44.86,11.34,11.52,8.2,6.26
831,S P Apparels,399.5,15.79,1026.95,0.56,23.24,23.81,222.14,16.97,9.81,43.33,8.01,4.81
832,RPG LifeScience.,617.85,20.78,1020.83,1.17,15.75,41.26,112.65,15.98,27.23,40.01,20.36,14.04
833,Ester Industries,121.75,7.39,1014.9,2.79,32.99,-28.14,333.01,32.93,32.4,142.28,30.43,18.3
834,Pix Transmission,741.35,13.2,1010.46,0.67,19.76,1.28,122.32,20.41,27.58,65.79,24.56,15.67
835,Media Matrix,8.87,,1004.75,0.0,0.67,-74.23,197.73,-55.47,21.48,3.93,7.17,1.62
836,InfoBeans Tech.,416.05,21.17,1003.22,0.0,11.73,145.4,56.51,36.76,19.45,37.13,22.82,16.19
837,Vishnu Chemicals,837.2,23.38,1000.22,0.12,16.63,123.22,240.43,31.86,11.96,34.25,13.45,4.54
838,Mangalam Cement,373.45,8.31,997.43,0.4,11.07,-29.17,375.74,15.74,19.07,109.0,17.34,6.35
839,Seshasayee Paper,157.3,8.59,992.69,1.59,27.49,46.15,332.0,120.72,8.66,106.37,9.73,7.17
840,Vardhman Special,243.9,9.86,987.15,0.62,24.29,171.7,335.65,35.84,13.47,46.45,10.64,5.91
841,Bharat Bijlee,1746.75,17.37,986.96,0.29,14.39,137.85,305.37,108.94,4.91,25.15,2.91,1.85
842,Saksoft,932.5,17.77,983.69,0.54,13.09,21.99,114.72,18.04,23.76,45.44,19.52,13.59
843,The Anup Enginee,988.4,16.2,977.01,0.71,15.74,34.99,89.05,2.65,19.0,53.3,16.15,12.5
844,Visaka Industrie,590.3,8.2,970.15,2.54,23.79,6.68,292.25,29.21,21.51,110.55,19.62,11.68
845,TTK Healthcare,688.1,27.63,969.13,0.87,12.81,-51.43,206.36,29.24,10.56,41.1,15.12,8.88
846,NCL Industries,213.8,6.94,967.53,1.87,31.18,-27.32,415.4,19.34,26.74,148.16,24.83,12.09
847,India Motor Part,769.35,15.4,963.0,1.3,15.39,38.9,167.17,23.04,4.57,43.48,3.66,3.24
848,S P I C,47.2,6.25,961.18,0.0,61.5,626.95,615.5,43.35,12.47,74.08,15.59,3.89
849,Kesoram Inds.,57.7,2.56,950.96,0.0,-12.02,-292.32,842.69,29.74,15.07,360.72,413.91,11.12
850,Cerebra Integr.,78.9,67.76,950.7,0.0,8.41,2448.48,63.2,326.74,2.7,1.69,0.58,0.3
851,Vardhman Hold.,2950.35,2.74,947.17,0.17,137.31,499.08,14.24,76.89,6.02,129.51,5.85,5.84
852,Oriental Carbon,947.3,11.4,945.09,1.48,13.34,-37.19,110.38,21.97,16.03,79.19,15.87,11.01
853,Bajaj Healthcare,343.55,11.22,944.71,0.25,17.25,-14.26,150.91,-26.97,35.91,83.1,38.09,19.13
854,Apex Frozen Food,300.5,26.26,943.82,0.67,22.03,-12.58,267.12,1.86,13.12,44.29,10.6,6.9
855,Ador Welding,693.05,27.93,937.86,0.0,14.64,259.93,159.51,66.24,6.25,15.51,6.4,3.82
856,T N Petro Prod.,103.85,5.43,934.8,2.41,46.47,80.12,459.72,61.49,28.12,111.06,20.71,15.13
857,Assoc.Alcohols,516.85,14.5,934.15,0.19,14.26,8.28,120.1,21.39,34.04,57.96,25.93,19.21
858,Indian Hume Pipe,191.55,14.1,926.05,1.04,18.13,289.89,416.01,45.91,10.94,41.06,7.01,2.09
859,Arvind SmartSp.,217.8,54.93,922.79,0.0,2.69,36.55,25.72,-13.6,8.35,8.81,3.01,1.05
860,Mishtann Foods,18.45,87.11,922.5,0.02,6.5,16150.0,125.06,24.14,4.64,0.73,1.05,0.56
861,Capital India,118.55,,921.54,0.08,0.54,-92.74,128.37,245.17,5.22,9.6,1.77,0.69
862,Gokul Agro,64.15,13.7,919.28,0.0,21.82,190.16,2694.04,43.08,22.81,44.52,13.78,2.96
863,Lloyds Steels,10.3,1610.88,918.2,0.0,1.95,236.21,7.37,-55.01,1.29,0.5,0.44,0.32
864,Ashapura Minech.,100.1,5.84,918.16,0.5,33.91,384.24,270.22,40.53,15.88,67.72,17.51,3.34
865,Aditya Vision,763.15,21.44,917.95,0.66,7.28,170.63,182.09,33.23,38.35,24.68,51.33,9.05
866,Vimta Labs,412.85,26.65,911.96,0.48,9.51,40.24,74.7,27.04,14.24,21.27,11.58,8.22
867,Cheviot Company,1445.6,9.38,905.94,0.0,25.43,77.09,128.98,36.23,12.57,67.15,10.29,9.49
868,Foseco India,1409.5,28.2,895.4,1.06,8.98,76.77,86.97,26.13,12.03,15.46,8.73,6.04
869,Texmaco Rail,27.65,16.79,888.38,0.36,6.33,470.27,373.74,-8.05,5.74,14.16,1.31,0.44
870,DigiSpice Tech.,38.6,,886.69,0.0,3.98,-69.17,236.68,35.59,2.88,11.46,5.0,0.61
871,Balmer Law. Inv.,399.35,13.19,886.56,9.52,64.37,-20.39,64.96,-20.27,48.66,84.62,47.81,47.07
872,WPIL,903.9,8.72,882.85,1.11,23.82,110.61,287.06,57.31,18.39,84.12,16.89,6.76
873,Arman Financial,1037.0,72.17,881.18,0.0,4.85,221.19,50.32,-0.89,10.11,10.62,5.92,1.16
874,Mangalam Organic,1026.35,8.88,879.53,0.15,22.49,56.94,143.01,66.37,49.71,84.97,40.5,32.29
875,Century Enka,400.75,5.15,877.26,2.0,41.39,180.04,536.96,94.92,8.92,72.76,6.88,5.59
876,Srikalahas. Pip.,187.15,5.27,873.26,3.21,35.83,43.43,438.96,10.49,10.02,101.67,7.0,4.33
877,Steel Exchange,99.25,14.59,871.45,0.0,-15.85,-189.5,206.92,-1.63,10.75,74.99,32.75,6.31
878,Sh. Jagdamba Pol,992.15,15.5,868.92,0.04,14.48,69.56,84.8,21.04,37.55,40.9,36.36,24.36
879,Satia Industries,87.05,12.99,866.97,0.11,20.27,51.95,186.77,26.26,11.55,49.37,11.74,5.35
880,Medicamen Biotec,700.95,54.93,852.44,0.14,4.22,31.06,32.52,5.69,12.72,12.49,9.73,6.77
881,Universus Photo,781.95,12.77,851.19,0.0,40.05,119.21,13.66,10.34,3.34,34.22,2.95,2.92
882,United Drilling,410.05,18.53,842.19,0.51,15.08,64.81,47.99,31.8,21.24,32.7,18.28,15.96
883,SMC Global Sec.,74.5,7.0,841.71,1.61,40.5,83.76,265.1,25.07,16.47,99.72,13.72,4.68
884,Deccan Cements,599.85,7.28,839.81,0.83,23.34,-31.03,190.88,-3.63,26.61,115.09,22.68,14.64
885,Fermenta Biotec.,284.7,25.38,837.9,0.88,4.5,-69.41,99.85,6.94,12.57,45.51,13.58,6.56
886,Themis Medicare,911.85,11.91,837.07,0.47,19.28,137.15,107.39,95.65,18.16,35.2,17.53,9.76
887,Dhunseri Vent.,239.7,2.48,835.7,1.04,58.96,19.23,45.6,69.14,18.91,232.6,16.4,13.87
888,Avadh Sugar,417.25,7.99,835.48,0.96,25.24,250.07,619.61,-0.05,10.3,77.84,12.38,2.83
889,India Nipp.Elec.,369.9,15.77,832.35,1.62,17.92,29.29,158.52,10.07,11.62,39.63,9.1,7.06
890,Uniphos Enter.,117.55,14.89,828.46,2.89,47.19,101.67,0.0,,1.08,23.87,1.13,1.11
891,Kalyani Invest.,1900.3,15.03,826.16,0.0,20.11,171.02,14.74,633.33,1.4,34.59,1.04,1.02
892,Aarti Surfactant,1087.85,52.02,823.42,0.28,0.83,-87.41,139.82,24.96,13.23,21.63,15.36,6.69
893,GIC Housing Fin,152.0,4.35,821.23,2.63,45.23,119.56,297.78,-5.7,7.48,105.57,8.06,0.82
894,Antony Waste han,285.55,13.44,808.89,0.0,18.04,45.84,153.5,32.62,21.29,45.05,15.76,8.79
895,Suumaya Indust.,287.85,0.83,807.93,0.96,289.05,867.37,3154.46,1289.08,155.12,406.09,154.91,18.21
896,Mangalore Chem.,67.5,11.66,803.02,1.48,28.98,-28.55,727.82,5.67,10.42,68.96,11.96,2.87
897,Syncom Formul.,9.66,28.69,801.73,0.0,5.62,-39.18,52.94,-19.61,21.13,29.07,17.97,12.31
898,Disa India,5510.7,23.86,801.37,0.18,12.19,62.1,69.23,39.18,18.3,24.08,13.5,9.44
899,Nalwa Sons Invst,1568.35,13.27,800.13,0.0,39.08,69.91,59.02,64.58,1.11,41.82,1.01,0.92
900,Pearl Global Ind,369.1,23.5,800.02,0.0,24.5,32.53,681.27,51.16,4.79,8.28,1.63,0.66
901,Raghav Product.,734.15,51.35,798.48,0.07,4.55,139.47,23.88,60.27,22.76,9.19,17.19,13.62
902,Dharamsi Morarji,318.7,29.82,794.08,0.63,3.66,-68.66,72.53,45.73,19.3,32.56,20.15,13.73
903,Rajapalayam Mill,920.25,4.05,791.93,0.05,97.33,190.36,171.45,59.79,-0.05,104.57,5.68,4.18
904,Arihant Super.,189.95,20.34,783.72,0.0,11.63,180.24,87.8,38.05,10.16,11.18,8.42,2.19
905,Zee Media,12.45,14.01,781.75,0.0,-102.67,-67.51,206.14,37.78,21.82,83.78,19.01,9.15
906,Sadhana Nitro,39.95,41.61,781.49,0.0,1.62,237.5,31.6,53.77,11.55,15.58,12.66,6.39
907,Dhanvarsha Finv.,101.35,334.23,778.75,0.01,1.78,381.08,17.59,159.82,6.35,1.3,2.08,1.11
908,Jay Bharat Maru.,180.0,17.66,778.31,0.69,3.48,-61.55,467.55,19.32,8.85,26.15,5.99,2.14
909,Hexa Tradex,138.65,,768.62,0.0,-13.48,-3034.88,0.01,-90.0,1.41,9.52,1.31,1.09
910,Anjani Portland,301.05,10.14,762.74,1.66,6.89,-66.5,104.76,13.41,32.68,84.97,27.4,19.81
911,Asian Granito,131.85,7.02,747.99,0.38,53.83,170.64,375.75,9.13,12.88,57.22,10.23,4.4
912,Texmaco Infrast.,57.1,36.54,747.62,0.35,2.1,50.0,4.53,-13.88,1.05,6.62,1.11,1.03
913,Skipper,72.8,48.03,746.92,0.14,4.35,-65.06,479.29,18.75,8.99,20.25,2.9,1.11
914,Guj. Themis Bio.,511.85,18.61,743.65,0.39,13.79,21.5,35.05,28.86,66.9,30.17,53.81,39.61
915,DCM Shriram Inds,85.45,12.19,743.35,1.76,12.64,-48.43,487.74,-8.93,12.04,64.7,11.0,3.93
916,VLS Finance,191.6,2.24,741.35,0.78,79.87,158.9,95.51,184.09,9.94,221.35,10.58,8.42
917,Vijay Solvex,2314.45,9.48,741.21,0.0,18.55,69.87,627.22,34.88,28.17,66.72,33.52,19.2
918,Indrapr.Medical,79.9,13.41,732.0,0.0,12.07,2643.18,232.89,65.06,3.06,2.72,1.01,0.62
919,Lincoln Pharma.,358.15,10.83,722.98,0.42,23.02,10.09,127.47,1.12,24.61,62.31,18.1,14.69
920,Allsec Tech.,475.95,26.16,722.88,9.45,12.95,101.09,77.12,14.08,17.05,34.76,14.1,11.42
921,Indo Amines,204.3,18.32,722.17,0.54,3.94,-37.85,183.59,34.31,19.38,37.6,25.43,9.17
922,Vadilal Inds.,1000.05,17.71,721.85,0.0,12.7,1767.65,188.33,52.61,7.19,4.54,1.82,0.8
923,Pitti Engg.,224.4,14.78,721.66,0.35,12.95,28.34,242.23,79.5,13.87,29.92,13.49,4.61
924,Yuken India,601.0,36.29,721.14,0.1,5.75,4891.67,89.81,108.33,3.4,5.25,2.98,0.19
925,KSE,2251.7,12.06,720.54,4.44,-5.24,-121.79,437.05,22.34,65.7,107.9,56.03,41.12
926,Rushil Decor,367.15,75.76,718.98,0.14,7.68,12.61,171.32,80.17,4.63,12.6,5.12,1.58
927,Goodluck India,271.95,14.23,708.56,0.55,17.02,78.22,635.38,51.54,10.72,30.09,8.28,2.87
928,RACL Geartech,648.0,25.03,698.65,0.15,6.54,17.63,69.01,42.44,20.21,23.85,24.7,9.66
929,Centum Electron,539.15,144.63,696.81,0.74,-0.64,-108.41,172.42,-15.93,8.34,17.16,8.01,1.17
930,Faze Three,284.9,17.57,692.85,0.0,13.57,122.46,121.21,51.29,13.61,24.93,11.53,7.72
931,Summit Securitie,638.05,11.59,688.37,0.0,43.82,1919.35,61.56,1258.94,0.72,18.3,0.51,0.46
932,Kanoria Chem.,157.4,15.22,687.84,0.0,-5.64,23.27,339.41,37.54,4.37,18.07,3.13,1.45
933,Salasar Techno,239.55,17.78,685.54,0.42,10.02,22.64,200.19,35.68,14.95,29.64,12.89,5.94
934,D. P. Abhushan,305.5,21.12,679.89,0.0,10.86,52.53,448.27,160.4,22.49,27.43,32.87,8.24
935,HCP Plastene,658.3,76.73,673.7,0.0,-2.5,-67.79,11.15,,-18.08,10.78,,15.03
936,Uttam Sug.Mills,173.3,8.95,664.04,0.0,0.44,105.2,476.4,12.75,17.49,60.37,19.38,3.4
937,Tilak Ventures,51.65,491.56,663.6,0.0,0.22,-37.14,0.19,-90.87,4.99,1.36,5.51,5.02
938,Likhitha Infra.,334.4,15.39,662.88,0.45,10.38,93.3,58.81,41.81,34.86,28.99,25.96,21.5
939,Prec. Wires (I),285.95,11.66,662.73,1.75,14.97,49.55,708.85,80.59,20.44,39.27,13.12,5.91
940,Oriental Rail,122.95,44.15,662.73,0.16,5.62,12.4,53.27,-16.95,10.85,15.43,18.62,4.96
941,Bhagiradha Chem.,797.5,22.24,661.96,0.13,8.4,32.7,99.38,10.68,20.1,22.84,15.86,9.17
942,Exxaro Tiles,147.3,43.11,658.35,0.0,5.62,19.83,89.45,46.69,13.0,15.27,11.59,4.04
943,Nelcast,75.85,36.24,658.12,0.26,3.36,-28.05,238.01,70.7,4.58,9.05,2.13,1.12
944,Ravindra Energy,48.9,15.46,656.38,0.0,26.61,486.21,35.47,-48.34,8.93,5.39,43.18,1.56
945,Sterling Tools,182.1,18.62,656.0,0.55,10.07,-5.98,127.8,34.23,9.44,24.04,7.54,5.0
946,Sh.Pushkar Chem.,210.8,18.09,648.77,0.47,9.5,55.99,72.9,23.5,8.64,22.83,7.47,5.77
947,Saint-Gob. Sekur,70.75,30.11,644.6,1.41,28.55,185.85,38.02,52.87,8.43,7.53,5.57,4.58
948,Eldeco Housing,3264.95,12.23,643.19,1.23,16.73,6.02,40.11,-0.02,30.62,54.22,22.8,11.82
949,Gayatri Projects,34.35,,643.03,0.0,-189.41,-210555.56,865.53,8.43,12.27,43.1,5.13,0.75
950,Snowman Logistic,38.5,310.36,642.45,0.0,0.47,127.17,70.07,21.46,3.02,0.05,0.01,0.01
951,Dynemic Products,563.95,22.84,639.04,0.0,5.25,-26.06,57.95,14.44,15.09,28.52,20.06,9.48
952,Jayant Agro Org.,211.55,8.33,638.37,0.47,21.26,193.24,641.0,66.29,16.2,47.99,13.59,8.14
953,Everest Inds.,406.05,13.08,634.32,1.85,10.52,-41.16,298.19,9.11,18.34,56.71,11.8,6.38
954,Delphi World,572.1,27.85,631.07,0.0,2.34,-87.19,16.24,-94.83,30.68,40.9,24.97,15.45
955,Hi-Tech Pipes,542.7,18.13,629.32,0.0,10.05,55.09,460.79,20.77,12.61,22.8,12.18,3.91
956,ANG Lifesciences,604.55,89.15,626.71,0.17,,,,,19.38,7.03,18.47,5.91
957,Lancer Containe.,207.5,51.06,625.43,0.08,5.38,139.11,121.79,68.64,23.03,8.7,22.16,8.06
958,Plastiblends (I),239.05,17.41,622.32,1.67,5.5,-27.92,171.39,20.32,16.25,37.31,12.21,8.66
959,Vishal Fabrics,93.8,11.51,619.3,0.53,19.77,697.18,399.51,81.93,10.14,18.06,7.06,2.3
960,BCL Industries,256.45,9.77,618.83,1.95,21.03,70.56,461.5,42.1,17.18,45.22,17.79,7.37
961,Khaitan Chemical,63.35,11.21,616.49,0.39,28.23,168.09,217.09,52.25,19.14,24.97,15.26,6.68
962,Allied Digital,114.0,22.95,615.18,0.66,32.72,183.42,113.06,27.85,5.26,19.24,4.16,3.04
963,Windlas Biotech,280.5,38.63,611.55,0.0,8.3,-12.08,115.25,13.75,18.99,15.83,7.74,9.79
964,Navkar Corporat.,40.55,13.12,611.13,0.0,11.64,77.17,214.79,45.91,4.0,16.99,0.93,0.69
965,Venus Remedies,452.65,10.56,605.53,0.0,23.15,272.19,202.56,60.67,7.77,38.33,10.8,6.39
966,Beekay Steel Ind,315.25,4.27,601.25,0.32,30.67,80.73,292.09,54.36,18.0,78.93,15.44,11.1
967,Agarwal Indl.,452.5,11.12,597.37,0.4,4.28,97.24,158.6,66.72,19.62,40.25,22.76,11.58
968,Choice Intl.,149.25,19.08,594.09,0.0,11.7,1414.61,61.1,96.02,10.49,16.73,7.66,2.89
969,Onward Technolog,270.95,29.68,593.68,1.11,5.59,130.04,72.94,21.2,11.88,7.27,10.21,5.32
970,Seacoast Ship.,175.8,42.34,591.87,0.28,5.91,473.79,71.95,176.09,45.65,11.1,45.77,14.58
971,Steelcast,295.3,25.37,591.31,0.46,9.81,179.49,77.41,122.51,12.06,11.7,9.49,6.01
972,Muthoot Cap.Serv,359.3,,590.63,0.0,-8.08,-151.24,99.17,-30.97,11.85,51.46,9.65,1.88
973,Rama Phosphates,333.0,8.81,589.08,0.6,22.72,101.06,248.14,116.15,29.4,42.09,22.73,13.8
974,Sandesh,774.95,6.11,586.83,0.65,23.04,-12.83,73.68,22.86,13.86,88.79,10.6,9.83
975,Rane Brake Lin.,757.8,17.08,585.97,3.3,5.41,-53.08,122.5,15.82,20.24,31.81,13.64,8.56
976,Amines & Plast.,106.35,18.8,585.14,0.38,6.99,-19.0,133.17,19.13,28.15,32.59,26.19,12.15
977,Gloster Ltd,1063.85,10.07,582.1,2.35,14.64,49.08,189.82,56.55,6.01,38.66,4.02,3.48
978,Kamdhenu,219.25,18.34,577.62,0.36,7.65,203.57,215.53,58.31,14.94,22.31,11.88,4.98
979,Vishwaraj Sugar,30.75,22.39,576.45,0.65,0.19,101.61,102.55,46.52,8.21,8.41,3.76,1.22
980,IFB Agro Inds.,613.1,8.3,574.81,0.0,21.47,26.82,297.36,43.19,13.79,47.0,11.21,9.6
981,Nahar Poly,234.4,7.61,574.0,0.64,23.21,45.61,104.37,36.22,14.02,62.59,13.67,11.84
982,Deep Polymers,481.5,180.32,571.62,0.0,3.0,229.67,42.69,424.45,9.11,1.82,6.9,6.09
983,Oswal Green Tech,22.2,13.75,570.11,0.0,15.52,-6.95,4.5,2.27,3.36,50.02,2.07,2.03
984,NBI Indl. Fin.,2320.0,118.25,569.98,0.0,4.08,1842.86,5.76,1209.09,0.05,1.61,0.08,0.08
985,IST,488.35,5.38,569.62,0.0,27.82,20.43,34.89,-4.72,15.8,94.12,10.9,10.26
986,Gallantt Metal,69.35,5.42,563.13,0.0,6.87,-0.72,391.49,79.72,12.0,81.44,11.7,9.24
