,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Ann,ROE,ROA
589,Cosmo Films,1413.45,7.99,2566.47,1.77,97.3,84.59,759.37,35.66,23.22,233.02,29.22,11.58
590,Oriental Aromat.,761.7,27.56,2564.06,0.33,12.36,-62.73,230.47,25.37,24.45,102.97,20.17,15.2
591,SEAMEC Ltd,1022.95,39.48,2555.2,0.1,25.71,65.87,81.82,40.39,6.59,36.97,6.04,4.36
592,VST Till. Tract.,2949.05,25.49,2546.96,0.68,32.15,7.38,233.46,5.93,19.47,90.77,14.59,11.25
593,Schneider Elect.,106.1,,2536.86,0.0,-8.74,-154.12,301.67,-18.38,12.0,11.77,10.58,1.04
594,Techno Elec.Engg,228.7,14.09,2517.88,4.37,63.49,-34.14,273.51,6.38,16.66,200.45,13.0,9.43
595,Gulf Oil Lubric.,497.8,11.8,2510.52,3.21,58.7,-0.71,533.52,29.58,25.46,199.29,24.44,13.78
596,Dollar Industrie,438.45,22.14,2497.73,0.55,41.25,84.4,390.67,51.78,18.85,87.29,17.32,10.47
597,T.V. Today Netw.,415.7,14.24,2497.2,0.6,46.98,69.36,225.99,27.89,20.64,131.53,14.12,11.43
598,Natl.Fertilizer,50.35,,2470.07,0.0,16.34,-80.87,3690.7,16.28,8.9,236.26,11.69,2.06
599,INEOS Styrolut.,1390.0,5.56,2446.77,0.72,90.03,151.2,588.48,49.14,42.45,276.96,36.98,23.39
600,Marksans Pharma,59.05,9.76,2414.97,0.42,46.29,-8.75,361.2,1.33,38.9,237.25,31.17,22.28
601,MSTC,341.4,16.14,2402.38,1.29,28.3,-1.6,227.71,8.72,19.88,112.79,21.86,5.07
602,Sharda Motor,805.95,19.49,2398.9,0.33,41.75,102.18,587.13,32.15,24.97,63.41,15.94,7.95
603,Agro Tech Foods.,971.55,104.79,2372.36,0.31,5.24,-41.12,251.9,10.2,10.08,31.03,7.35,5.92
