,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,maxAge,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,toCurrency
1,,,,,,,,,none,1464901000,,,74.4,,,,,,,,,,,,,INR,1,,,,BSE,ASIAN HOTELS (NORTH) LIMITED,Asian Hotels (North) Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ASIANHOTNR.BO,,,,dffa9101-49da-3800-afe8-c2a98dee8f09,in_market,74,73.25,62.168015,,,,78.95,,2443,,74,72.33971,,73.25,2443,,,,,,,,,73.25,2,INR,,1054,,,,1447318144,,,2709,,73.25,74.9,,0,1054,83,,,,44.25,72.75,False,,0,78.95,74.4,,
1,,,,,,,,3234,none,19915300000,,3880,8881.85,,,,5,3672.8,,,4000,,,,,INR,1,,,,BSE,ATUL LTD.,Atul Ltd,Asia/Kolkata,IST,False,19800000,,EQUITY,ATUL.BO,,,,65f588bd-d121-33c7-8bc0-4f530a5cc704,in_market,8801.8,8760,6146.255,0.0017041969,,,8900,,14880,,8801.8,6496.0425,15,8760,14880,,,,,,,,,8742.05,2,INR,41.36326,1432,,,,263597309952,,,4768,,8742.05,8888,,0,1432,8900,54.009422,,,3256.6,8851,False,,0,8900,8881.85,,
1,,,,,,,,,none,170236000,,,12.46,,,,,,,,,,,,,INR,1,,,,BSE,ATV PROJECTS INDIA LTD.,ATV Projects India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ATVPR.BO,,,,ced0f4f3-64b6-33d3-9302-bd30e81b18a9,in_market,12.36,12.97,4.238309,,,,12.97,,14181,,12.36,5.4451513,,12.97,14181,,,,,,,,,12,2,INR,26.012526,49433,,,,661842816,,,28131,,12,12.51,,0,49433,12.97,,,,2.59,12.4,False,,0,12.97,12.46,,
1,,,,,,,,416,none,13321394000,,550,1035.4,,,,12,574.75,,,735,,,,,INR,1,,,,BSE,BAJAJ ELECTRICALS LTD.,Bajaj Electricals Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BAJAJELEC.BO,,,,11e17882-fd0b-3989-b28c-3276188a5574,in_market,1034.65,1037.2,575.0349,0.0033827864,,,1047.6,,155932,,1034.65,756.92206,3.5,1037.2,155932,,,,,,,,,1030,2,INR,,4591,,,,117893750784,,,44403,,1030,1035.8,,0,4591,1123.7,40.085175,,,260,1031,False,,0,1047.6,1035.4,,
1,,,,,,,,8,none,10794500000,,8,13.29,,,,1,8,,,8,,,,,INR,1,,,,BSE,BAJAJ HINDUSTHAN SUGAR LIMITED,Bajaj Hindusthan Sugar Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BAJAJHIND.BO,,,,0ec263cf-a332-3829-96c5-23271b9d5066,in_market,12.78,12.81,5.6792645,,,,13.41,,544698,,12.78,6.547647,,12.81,544698,,,,,,,,,12.75,2,INR,,1297972,,,,15065013248,,,1137595,,12.75,13.35,,0,1297972,13.41,,,,2.34,13.29,False,,0,13.41,13.29,,
1,,,,,,,,5186,none,9641600000,,5186,1279.65,,,,1,5186,,,5186,,,,,INR,1,,,,BSE,FORCE MOTORS LTD.,Force Motors Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,FORCEMOT.BO,,,,dcd0f0e4-86f9-38ef-aeb0-76551873d52d,in_market,1282.55,1287.55,1178.4216,0.0077969665,,,1324.85,,3169,,1282.55,1389.7544,10,1287.55,3169,,,,,,,,,1273,2,INR,,6802,,,,16861052928,,,11688,,1273,1279.65,,0,6802,1559.5,8.813017,,,580,0,False,,0,1324.85,1279.65,,
1,,,,,,,,1048,none,157692000000,,2470,7070.2,,,,25,2380.76,,,3110,,,,,INR,1,,,,BSE,BAJAJ FINANCE LIMITED,Bajaj Finance Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BAJFINANCE.BO,,,,3abfe557-a9a2-339b-8957-ff2accc469d7,in_market,7179.8,7130,4163.2676,0.0013927965,,,7233.55,,100781,,7179.8,5135.372,10,7130,100781,,,,,,,,,7055.25,2,INR,83.84266,33908,,,,4266766893056,,,173828,,7055.25,7080,,0,33908,7233.55,83.71063,,,1783.1,7075,False,,0,7233.55,7070.2,,
1,,,,,,,,90,none,11680769000,,90,323.5,,,,1,90,,,90,,,,,INR,1,,,,BSE,BALRAMPUR CHINI MILLS LTD.,Balrampur Chini Mills Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BALRAMCHIN.BO,,,,cd3bfdb3-3f59-323f-9898-c3e75248288e,in_market,330.85,331,156.67537,0.007556294,,,335,,28135,,330.85,175.30151,2.5,331,28135,,,,,,,,,322.5,2,INR,12.869475,25159,,,,73899696128,,,91866,,322.5,323.95,,0,25159,335,24.323307,,,68.8,323,False,,0,335,323.5,,
1,,,,,,,,162,none,5870159000,,162,174.25,,,,1,162,,,162,,,,,INR,1,,,,BSE,BANCO PRODUCTS (INDIA) LTD.,Banco Products (India) Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BANCOINDIA.BO,,,,d8349361-52da-33a2-8fa3-01a91b221bab,in_market,177.1,177.45,112.30147,0.11293054,,,179,,87500,,177.1,145.75587,20,177.45,87500,,,,,,,,,173.5,2,INR,19.389116,13316,,,,12462115840,,,47690,,173.5,179,,0,13316,179,9.65374,,,55,174,False,,0,179,174.25,,
1,,,,,,,,951,none,16594700000,,951,831.4,,,,1,951,,,951,,,,,INR,1,,,,BSE,CENTURY TEXTILES & INDUSTRIES,Century Textiles and Industries Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,CENTURYTEX.BO,,,,9b098d7a-808c-302c-bcd9-48529d1cdb62,in_market,830.65,825.65,349.94705,0.0036116294,,,844.95,,87196,,830.65,406.89545,3,825.65,87196,,,,,,,,,822.9,2,INR,145.37508,20553,,,,92864053248,,,76516,,822.9,834.65,,0,20553,844.95,23.223465,,,220.1,833.85,False,,0,844.95,831.4,,
1,,,,,,,,1390,none,4802967000,,1390,2175.4,,,,1,1390,,,1390,,,,,INR,1,,,,BSE,BANNARI AMMAN SUGARS LTD.,Bannari Amman Sugars Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BANARISUG.BO,,,,028f53d3-3358-3271-9855-dfaee242d809,in_market,2117.35,2150,1370.5974,0.0047228844,,,2179,,266,,2117.35,1492.3514,10,2150,266,,,,,,,,,2150,2,INR,26.506317,10,,,,27278862336,,,154,,2150,2227,,0,10,2179,,,,636.05,2150,False,,0,2179,2175.4,,
1,,,,,,,,1400,none,13973700000,,1806,2889.55,,,,2,1806,,,2212,,,,,INR,1,,,,BSE,BASF INDIA LTD.,BASF India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BASF.BO,,,,3069f859-f49d-3350-bd2f-14961db6b091,in_market,2798.5,2837.15,1502.7338,0.0010720028,,,2909.2,,1825,,2798.5,1629.8894,3,2837.15,1825,,,,,,,,,2812.95,2,INR,,2207,,,,125074169856,,,3692,,2812.95,2900,,0,2207,2909.2,110.28817,,,805.65,2879.5,False,,0,2909.2,2889.55,,
1,,,,,,,,463,none,17407480000,,1044,1898.75,,,,8,985,,,1160,,,,,INR,1,,,,BSE,BATA INDIA LTD.,Bata India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BATAINDIA.BO,,,,0536cb37-78d7-388a-b873-d360faa62cec,in_market,1913.05,1928.2,1428.3209,0.0020909018,,,1938.3,,91091,,1913.05,1584.0809,4,1928.2,91091,,,,,,,,,1890.5,2,INR,192.10341,25095,,,,244042547200,,,48599,,1890.5,1898.75,,0,25095,1938.3,74.75394,,,1017.2,1894.1,False,,0,1938.3,1898.75,,
1,,,,,,,,1010,none,13757111000,,1305,1886.3,,,,2,1305,,,1600,,,,,INR,1,,,,BSE,BEML LTD.,BEML Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BEML.BO,,,,e90cd77a-cca1-3624-b98a-c981e803cf38,in_market,1893.2,1913.1,744.7147,0.0031692374,,,1937.65,,57533,,1893.2,955.5559,6,1913.1,57533,,,,,,,,,1856.95,2,INR,281.6214,36616,,,,78554021888,,,48939,,1856.95,0,,0,36616,1937.65,,,,369.6,0,False,,0,1937.65,1886.3,,
1,,,,,,,,64,none,57988600000,,110,206.55,,,,22,115.45,,,175,,,,,INR,1,,,,BSE,BHARAT ELECTRONICS LTD.,Bharat Electronics Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BEL.BO,,,,f1e1be56-3608-3d59-8f17-3d54f75a19d0,in_market,205.9,204.4,110.06213,0.006799417,,,209.7,,924980,,205.9,132.33676,1.4,204.4,924980,,,,,,,,,204.4,2,INR,30.157688,177918,,,,503277682688,,,1224648,,204.4,206.55,,0,177918,209.7,29.173729,,,56.1,206.1,False,,0,209.7,206.55,,
1,,,,,,,,,none,2096312000,,,167.35,,,,,,,,,,,,,INR,1,,,,BSE,BHANSALI ENGINEERING POLYMERS,Bhansali Engineering Polymers Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BEPL.BO,,,,817a8311-3531-326a-928b-f0c949a20891,in_market,162.25,160,93.40294,0.0030816642,,,170,,172722,,162.25,146.22728,0.5,160,172722,,,,,,,,,160,2,INR,47.274014,117304,,,,27764369408,,,149284,,160,167.75,,0,117304,179,28.754295,,,25.3,167.05,False,,0,170,167.35,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,BSE,BIHAR SPONGE IRON LTD.,Bihar Sponge Iron Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BIHSPONG.BO,,,,833114bd-89cb-317c-a987-bf2080769d7a,in_market,7.97,7.85,1.2337956,,,,8.25,,5401,,7.97,1.6791177,,7.85,5401,,,,,,,,,7.66,2,INR,,14999,,,,739684288,,,7686,,7.66,8.19,,0,14999,8.25,,,,0.33,8.2,False,,0,8.25,8.2,,
1,,,,,,,,,none,660055000,,,81.15,,,,,,,,,,,,,INR,1,,,,BSE,Birla Cable Limited,Birla Cable Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BIRLACABLE.BO,,,,73906a1f-eb2f-3aa4-a051-bd32cb989a07,in_market,80.2,82.5,55.914337,0.024937658,,,82.5,,11421,,80.2,62.92353,2,82.5,11421,,,,,,,,,79.9,2,INR,138.48123,12616,,,,2434500096,,,29039,,79.9,82.7,,0,12616,82.5,,,,24.6,81.65,False,,0,82.5,81.15,,
1,,,,,,,,561,none,13452000000,,672,990.65,,,,13,684.15,,,889,,,,,INR,1,,,,BSE,BLUE STAR LTD.,Blue Star Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BLUESTARCO.BO,,,,59381bd3-9347-301c-9e1e-bd90e1ffd09b,in_market,988,972,689.40845,0.010121457,,,996.3,,22286,,988,790.875,10,972,22286,,,,,,,,,972,2,INR,204.342,1786,,,,95489744896,,,10634,,972,993.85,,0,1786,996.3,42.480705,,,425,991,False,,0,996.3,990.65,,
1,,,,,,,,3528,none,1062600000,,3528,5487.65,,,,1,3528,,,3528,,,,,INR,1,,,,BSE,DISA INDIA LTD.,Disa India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,DISAQ.BO,,,,e743bb90-f99b-3135-ae6d-438ac0e27235,in_market,5437,5450,3708.6113,0.0004598124,,,5499.9,,1152,,5437,4063.5325,2.5,5450,1152,,,,,,,,,5401.05,2,INR,37.591534,43,,,,7980140544,,,515,,5401.05,5450,,0,43,5499.9,,,,2700,5451,False,,0,5499.9,5487.65,,
1,,,,,,,,,none,131636000,,,266.6,,,,,,,,,,,,,INR,1,,,,BSE,BNK CAPITAL MARKETS LTD.,BNK Capital Markets Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BNKCAP.BO,,,,eb44e966-f4b7-3ae8-b356-6c5886a0ce34,in_market,262.65,273.9,83.46544,0.009518371,,,275,,10419,,262.65,109.1647,2.5,273.9,10419,,,,,,,,,262,2,INR,29.458563,2251,,,,2666000128,,,26997,,262,265,,0,2251,275,,,,40,263.2,False,,0,275,266.6,,
1,,,,,,,,,none,103768000,,,67.75,,,,,,,,,,,,,INR,1,,,,BSE,BPL LTD.,BPL Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BPL.BO,,,,977f9975-914c-376b-b9b6-e34dac30069b,in_market,69.5,67.5,20.55147,,,,69.85,,20018,,69.5,22.314705,,67.5,20018,,,,,,,,,67.1,2,INR,101.270546,21465,,,,3311945216,,,25569,,67.1,68.55,,0,21465,69.85,,,,8.6,67.75,False,,0,69.85,67.75,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,BSE,ORIENTAL AROMATICS LIMITED,,Asia/Kolkata,IST,False,19800000,,EQUITY,OAL.BO,,,,,in_market,768.3,768.85,,,,,781.6,,,,768.3,,,768.85,,,,,,,,,,756.6,2,INR,,1441,,,,,,,,,756.6,780,,0,1441,781.6,,,,756.6,768,False,,0,781.6,772.1,,
1,,,,,,,,,none,578500000,,,8.54,,,,,,,,,,,,,INR,1,,,,BSE,CENTURY EXTRUSIONS LTD.,Century Extrusions Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,CENTEXT.BO,,,,832a13b4-a35e-3899-81ee-012a54670cf9,in_market,8.65,8.77,4.287794,,,,8.77,,28394,,8.65,4.972647,,8.77,28394,,,,,,,,,8.53,2,INR,449.4737,20053,,,,683200000,,,72253,,8.53,8.64,,0,20053,8.77,,,,1.45,8.55,False,,0,8.77,8.54,,
1,,,,,,,,948,buy,51913700000,,1190,89.05,,,,19,1181.63,,,1407,,,,,INR,1,,,1.9,BSE,CESC LTD.,CESC Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,CESC.BO,,,,9cf26505-0371-3bef-8668-53af54dba6bd,in_market,88.25,88.5,611.1283,0.2266289,,,89.5,,33270,,88.25,637.49414,20,88.5,33270,,,,,,,,,88,2,INR,0.93111527,122827,,,,11804200960,,,37720,,88,89.3,,0,122827,730,1.1761987,,,88,89.1,False,,0,89.5,89.05,,
1,,,,,,,,197,none,52674400000,,206,404.85,,,,2,206,,,215,,,,,INR,1,,,,BSE,CHAMBAL FERTILISERS & CHEMICAL,Chambal Fertilisers and Chemicals Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,CHAMBLFERT.BO,,,,4cdaa0ba-e4c0-3be0-93aa-4cb0ebbdb31b,in_market,397,390.2,186.99265,0.005037783,,,417.8,,81859,,397,236.04706,2,390.2,81859,,,,,,,,,390.2,2,INR,12.395139,267409,,,,168501805056,,,122740,,390.2,410,,0,267409,417.8,18.830233,,,95.25,404.85,False,,0,417.8,404.85,,
1,,,,,,,,180,none,79857100000,,290,165,,,,28,284.04,,,335,,,,,INR,1,,,,BSE,EXIDE INDUSTRIES LTD.,Exide Industries Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,EXIDEIND.BO,,,,ffc5572a-7922-3fc2-aea3-c66af7850ecb,in_market,166.25,167.7,176.06323,0.024661653,,,168,,493009,,166.25,199.76617,4.1,167.7,493009,,,,,,,,,164.75,2,INR,22.999722,211916,,,,140250005504,,,313263,,164.75,0,,0,211916,219,14.150944,,,121.9,165,False,,0,168,165,,
1,,,,,,,,,none,109324900000,,,911.85,,,,,,,,,,,,,INR,1,,,,BSE,CIPLA LTD.,Cipla Limited,Asia/Kolkata,IST,True,19800000,,EQUITY,CIPLA.BO,,,,447fba82-4849-3139-a000-1d39be03a682,in_market,921.45,926,777.9511,0.0032557382,,,928.35,,182893,,921.45,833.14557,3,926,182893,,,,,,,,,908.25,2,INR,44.718254,103129,,,,735284822016,,,215868,,908.25,913.5,,0,103129,928.35,,,,356.75,911.85,False,,0,928.35,911.85,,
