symbol,returnOnEquity,returnOnAssets,dividendYield,cluster,sector
ITC.NS,24.01,14.8,9.04,0,Consumer Defensive
INDIACEM.NS,3.69,2.97,0.3,1,Basic Materials
IBULHSGFIN.NS,7.36,1.29,3.51,1,Financial Services
INDIAMART.NS,28.33,10.71,0.21,1,Communication Services
IEX.NS,45.9,20.88,0.67,1,Financial Services
INDHOTEL.NS,-16.92,-3.58,0.29,1,Consumer Cyclical
IRFC.NS,15.67,1.58,6.31,0,Financial Services
INDOCO.NS,16.93,9.55,0.32,1,Healthcare
IGL.NS,20.06,8.98,0.54,1,Utilities
INFIBEAM.NS,2.6,1.4,0.11,1,Technology
NAUKRI.NS,36.43,3.0,0.15,1,Communication Services
INFY.NS,29.82,15.82,1.79,1,Technology
IPCALAB.NS,20.32,11.18,0.52,1,Healthcare
JBCHEPHARM.NS,26.14,14.35,1.03,1,Healthcare
JKCEMENT.NS,21.37,8.67,0.46,1,Basic Materials
JMFINANCIL.NS,10.22,4.46,0.72,1,Financial Services
JAMNAAUTO.NS,13.31,7.98,0.54,1,Consumer Cyclical
JINDALSAW.NS,8.14,4.27,1.96,1,Basic Materials
JUBLFOOD.NS,29.27,10.9,0.16,1,Consumer Cyclical
JUBLINGREA.NS,5.65,3.61,0.05,1,Healthcare
KPRMILL.NS,24.44,14.64,0.28,1,Consumer Cyclical
KALPATPOWR.NS,17.27,4.38,2.54,1,Industrials
KANSAINER.NS,13.37,8.14,0.51,1,Basic Materials
KARURVYSYA.NS,5.9,0.56,1.11,1,Financial Services
KSCL.NS,28.24,9.74,1.09,1,Consumer Defensive
LTTS.NS,22.94,11.98,0.58,1,Technology
LICHSGFIN.NS,7.07,0.67,2.03,1,Financial Services
LAXMIMACH.NS,5.39,2.3,0.11,1,Industrials
LTI.NS,29.37,15.02,0.71,1,Technology
LAURUSLABS.NS,39.11,16.69,0.44,1,Healthcare
LINDEINDIA.NS,19.44,5.69,0.13,1,Basic Materials
MRF.NS,9.19,4.76,0.13,1,Consumer Cyclical
MGL.NS,26.24,14.06,2.52,1,Utilities
M&MFIN.NS,-3.03,-0.56,0.49,1,Financial Services
M&M.NS,7.53,4.18,1.11,1,Consumer Cyclical
MAHLOG.NS,8.84,3.07,0.38,1,Industrials
MANAPPURAM.NS,24.28,5.28,1.68,1,Financial Services
MARICO.NS,31.7,15.24,1.43,1,Consumer Defensive
MASTEK.NS,28.2,11.18,0.56,1,Technology
MAZDOCK.NS,18.73,0.56,1.33,1,Industrials
METROPOLIS.NS,34.69,20.13,0.24,1,Healthcare
MINDTREE.NS,33.19,16.82,0.41,1,Technology
MINDACORP.NS,14.05,5.2,0.52,1,Consumer Cyclical
MINDAIND.NS,15.06,6.42,0.14,1,Consumer Cyclical
MIDHANI.NS,17.76,5.96,1.3,1,Basic Materials
MOTILALOFS.NS,35.73,11.6,1.15,1,Financial Services
MPHASIS.NS,22.28,10.78,1.26,1,Technology
MCX.NS,10.16,5.13,1.71,1,Financial Services
MUTHOOTFIN.NS,27.48,6.18,1.36,1,Financial Services
NATCOPHARM.NS,6.18,2.64,0.7,1,Healthcare
NBCC.NS,16.76,0.84,0.29,1,Industrials
NESCO.NS,11.53,7.66,0.5,1,Industrials
NLCINDIA.NS,8.77,3.64,1.8,1,Utilities
NTPC.NS,12.09,3.36,4.82,0,Utilities
NAVINFLUOR.NS,15.58,9.52,0.28,1,Basic Materials
NESTLEIND.NS,97.92,22.44,1.57,0,Consumer Defensive
NAM-INDIA.NS,25.33,18.9,2.57,1,Financial Services
ONGC.NS,9.13,2.86,5.79,0,Energy
OFSS.NS,30.87,20.64,4.53,0,Technology
PIIND.NS,14.74,7.39,0.17,1,Basic Materials
PNCINFRA.NS,19.17,7.58,0.15,1,Industrials
PETRONET.NS,25.64,12.89,8.35,0,Energy
PFIZER.NS,24.75,12.95,0.61,1,Healthcare
PHILIPCARB.NS,23.76,10.02,3.11,0,Basic Materials
PHOENIXLTD.NS,2.48,2.1,0.12,1,Real Estate
PIDILITIND.NS,24.36,13.95,0.39,1,Basic Materials
POLYMED.NS,19.81,9.72,0.24,1,Healthcare
